timestamp,Significant height of combined wind waves and swell,10 metre V wind component,2 metre dewpoint temperature,Mean wave period,2 metre temperature,10 metre U wind component,Total precipitation,Mean wave direction
2015-09-21 19:00:00+00:00,0.992236852645874,7.769266128540039,285.339111328125,4.430346488952637,288.744140625,0.8601823449134827,,247.93402099609375
2015-09-21 20:00:00+00:00,1.0501585006713867,8.351115226745605,285.149658203125,4.456247329711914,288.5341796875,0.12140423059463501,,239.98519897460938
2015-09-21 21:00:00+00:00,1.1176176071166992,9.046199798583984,285.009033203125,4.491790771484375,288.27001953125,0.614417552947998,,232.5603485107422
2015-09-21 22:00:00+00:00,1.2175426483154297,9.08110523223877,284.823486328125,4.533275604248047,288.141845703125,2.2179384231567383,,227.00340270996094
2015-09-21 23:00:00+00:00,1.2867193222045898,8.930916786193848,284.899658203125,4.621332168579102,287.929443359375,1.9810714721679688,,224.35755920410156
2015-09-22 00:00:00+00:00,1.3151111602783203,8.946516990661621,284.759521484375,4.69027042388916,287.685546875,1.0813369750976562,,221.66526794433594
2015-09-22 01:00:00+00:00,1.3172550201416016,9.180975914001465,284.606689453125,4.717158317565918,287.505126953125,0.22622746229171753,,218.2144317626953
2015-09-22 02:00:00+00:00,1.3169078826904297,9.554546356201172,284.574462890625,4.703756332397461,287.316650390625,-0.3416263461112976,,214.05416870117188
2015-09-22 03:00:00+00:00,1.3200464248657227,9.93069076538086,284.431884765625,4.665440559387207,287.140869140625,-0.14885711669921875,,209.1754913330078
2015-09-22 04:00:00+00:00,1.3384227752685547,9.978489875793457,284.432373046875,4.61313533782959,286.9912109375,0.16688376665115356,,203.6342010498047
2015-09-22 05:00:00+00:00,1.3597946166992188,9.866781234741211,284.671630859375,4.576190948486328,286.77490234375,0.6358210444450378,,199.1346893310547
2015-09-22 06:00:00+00:00,1.3689842224121094,9.484999656677246,284.615966796875,4.561951637268066,286.876708984375,1.0626535415649414,9.856259566731751e-05,197.81561279296875
2015-09-22 07:00:00+00:00,1.3571500778198242,9.290936470031738,284.84814453125,4.567788124084473,286.989990234375,2.357693672180176,,200.97193908691406
2015-09-22 08:00:00+00:00,1.3205842971801758,8.380388259887695,285.0576171875,4.561323165893555,286.94921875,4.117691993713379,,207.24319458007812
2015-09-22 09:00:00+00:00,1.2232542037963867,6.791629791259766,285.078369140625,4.433368682861328,287.046630859375,5.155357360839844,,215.09617614746094
2015-09-22 10:00:00+00:00,1.1561689376831055,5.179346084594727,284.917724609375,4.4105119705200195,287.081298828125,6.363589286804199,,221.41990661621094
2015-09-22 11:00:00+00:00,1.0776548385620117,4.368809700012207,285.004150390625,4.386536598205566,286.912841796875,6.068971633911133,,226.79127502441406
2015-09-22 12:00:00+00:00,1.009232521057129,4.03276252746582,285.031005859375,4.352286338806152,286.891845703125,5.4643964767456055,,230.85752868652344
2015-09-22 13:00:00+00:00,0.9407530426979065,3.813692092895508,284.676513671875,4.32810115814209,287.14794921875,4.8194475173950195,,234.5172882080078
2015-09-22 14:00:00+00:00,0.873677670955658,3.2034378051757812,284.332763671875,4.31935977935791,287.3583984375,4.293105125427246,,238.41578674316406
2015-09-22 15:00:00+00:00,0.8081616759300232,2.7736473083496094,284.011474609375,4.337630271911621,287.536865234375,3.6450347900390625,,242.6865234375
2015-09-22 16:00:00+00:00,0.745949387550354,1.397852897644043,283.665771484375,4.385858535766602,287.486328125,3.0837526321411133,,247.075439453125
2015-09-22 17:00:00+00:00,0.692588210105896,0.5064260959625244,283.602783203125,4.442378044128418,287.469482421875,2.324268341064453,,251.36874389648438
2015-09-22 18:00:00+00:00,0.6494998335838318,0.32759249210357666,283.393310546875,4.486576080322266,287.42333984375,1.743927001953125,2.9492148314602673e-05,255.3400421142578
2015-09-22 19:00:00+00:00,0.64989173412323,0.26893144845962524,283.234619140625,4.630571365356445,287.435546875,1.2276840209960938,,258.94775390625
2015-09-22 20:00:00+00:00,0.6216195225715637,0.06418180465698242,283.137939453125,4.679488182067871,287.362548828125,0.8567683100700378,,262.688232421875
2015-09-22 21:00:00+00:00,0.5984792709350586,-0.34272629022598267,283.028564453125,4.721768379211426,287.285400390625,0.5811924934387207,,266.034912109375
2015-09-22 22:00:00+00:00,0.5747476816177368,0.14954853057861328,282.619140625,4.809000015258789,287.13916015625,-0.39315032958984375,,269.34033203125
2015-09-22 23:00:00+00:00,0.5620777010917664,0.40875720977783203,282.558837890625,4.84423828125,287.0009765625,-0.8280414342880249,,272.2421875
2015-09-23 00:00:00+00:00,0.5530333518981934,0.6196640133857727,282.515625,4.892934799194336,286.9658203125,-1.1675901412963867,,274.999755859375
2015-09-23 01:00:00+00:00,0.5476826429367065,0.688266396522522,282.48291015625,4.955513954162598,286.86669921875,-1.216353416442871,,277.63134765625
2015-09-23 02:00:00+00:00,0.545658528804779,0.07228541374206543,282.677734375,5.028533935546875,286.907470703125,-0.0710795521736145,,280.107421875
2015-09-23 03:00:00+00:00,0.5464632511138916,-0.19969290494918823,282.776123046875,5.108342170715332,286.920654296875,0.5136507153511047,,282.382568359375
2015-09-23 04:00:00+00:00,0.549266517162323,-0.2564760446548462,282.57861328125,5.1885175704956055,286.878173828125,0.39773398637771606,,284.43701171875
2015-09-23 05:00:00+00:00,0.5530067682266235,-0.34525424242019653,282.45849609375,5.264788627624512,286.929443359375,0.3453335165977478,,286.24072265625
2015-09-23 06:00:00+00:00,0.5570314526557922,-0.6473681926727295,282.547119140625,5.331520080566406,287.114990234375,0.4142475128173828,1.1163459930685349e-05,287.811279296875
2015-09-23 07:00:00+00:00,0.5613861083984375,-0.6522763967514038,282.62890625,5.377347946166992,287.32861328125,0.2806389331817627,,289.19287109375
2015-09-23 08:00:00+00:00,0.5640873312950134,-0.5931196808815002,282.751953125,5.420621871948242,287.50537109375,-0.04275031015276909,,290.3642578125
2015-09-23 09:00:00+00:00,0.565327525138855,-0.3713870048522949,282.71337890625,5.456178665161133,287.68798828125,0.13752835988998413,,291.35986328125
2015-09-23 10:00:00+00:00,0.5604836344718933,-0.6424722671508789,283.16162109375,5.538524627685547,287.615478515625,0.8185161352157593,,292.495849609375
2015-09-23 11:00:00+00:00,0.5605072379112244,-0.4530283212661743,283.20068359375,5.540264129638672,287.838623046875,1.3030786514282227,,293.15478515625
2015-09-23 12:00:00+00:00,0.560530960559845,-0.3341817855834961,283.236328125,5.52060604095459,287.97119140625,1.9806947708129883,,293.679443359375
2015-09-23 13:00:00+00:00,0.5614575743675232,-0.12272822856903076,283.321533203125,5.474609375,288.061279296875,2.803858757019043,,293.927734375
2015-09-23 14:00:00+00:00,0.5617597103118896,0.23984885215759277,283.352783203125,5.421928405761719,288.135986328125,2.899324417114258,,293.9677734375
2015-09-23 15:00:00+00:00,0.5594112277030945,0.5405679941177368,283.41162109375,5.3944244384765625,288.15380859375,2.6694488525390625,,294.118896484375
2015-09-23 16:00:00+00:00,0.5573594570159912,0.9491662383079529,283.49658203125,5.3538103103637695,288.13525390625,2.529073715209961,,294.014892578125
2015-09-23 17:00:00+00:00,0.5579628348350525,1.330653190612793,283.6640625,5.283681869506836,288.04833984375,3.12819766998291,,293.470947265625
