MMSI;LAT;LON;SPEED;HEADING;COURSE;STATUS;TIMESTAMP
229044000;24.26614;120.5199;0;22;178;5;2021-01-11 19:07:18
245924000;51.89042;4.29825;0;73;309;5;2021-01-11 19:08:48
215644000;55.45896;8.436024;0;181;277;5;2021-01-11 19:12:02
253366000;51.88648;4.403783;0;152;152;6;2021-01-11 19:15:21
219019002;55.44956;8.471182;0;111;208;5;2021-01-11 19:16:15
229080000;57.69417;-4.032;1;87;221;0;2021-01-11 19:20:42
229080000;57.69417;-4.032;1;87;197;0;2021-01-11 20:03:02
219019002;55.44958;8.471167;0;111;75;5;2021-01-11 20:07:03
245179000;51.89317;4.286334;1;342;36;5;2021-01-11 20:07:19
246777000;51.8939;4.449558;0;104;199;5;2021-01-11 20:08:59
245924000;51.89043;4.29825;0;73;229;5;2021-01-11 20:11:17
215644000;55.45897;8.435886;0;181;277;5;2021-01-11 20:15:03
229044000;24.26612;120.5199;0;22;74;5;2021-01-11 20:16:24
253366000;51.88648;4.403767;0;152;152;6;2021-01-11 20:21:12
253366000;51.88643;4.4038;0;152;152;6;2021-01-11 21:05:20
229080000;57.69433;-4.032166;2;87;70;0;2021-01-11 21:07:12
245179000;51.89317;4.286334;0;342;180;5;2021-01-11 21:10:23
245924000;51.89043;4.29825;0;73;61;5;2021-01-11 21:13:47
246777000;51.8939;4.449565;0;104;132;5;2021-01-11 21:14:20
219019002;55.44962;8.471151;0;111;288;5;2021-01-11 21:16:18
215644000;55.45895;8.435991;0;181;312;5;2021-01-11 21:18:03
229044000;24.26611;120.5199;1;22;91;5;2021-01-11 21:22:26
215644000;55.45904;8.43613;0;181;312;5;2021-01-11 22:00:02
219019002;55.44955;8.471122;0;111;308;5;2021-01-11 22:04:20
253366000;51.88647;4.403767;0;152;152;6;2021-01-11 22:10:02
229080000;57.69417;-4.032;0;87;54;0;2021-01-11 22:12:42
229044000;24.26612;120.5199;0;22;110;5;2021-01-11 22:13:24
245924000;51.89043;4.29825;0;73;273;5;2021-01-11 22:16:15
245179000;51.89317;4.286334;1;342;182;5;2021-01-11 22:16:25
246777000;51.8939;4.449552;0;104;216;5;2021-01-11 22:20:10
246777000;51.89389;4.449553;0;104;301;5;2021-01-11 23:03:00
215644000;55.45901;8.435962;0;181;312;5;2021-01-11 23:09:02
229080000;57.69417;-4.032;1;87;314;0;2021-01-11 23:14:23
253366000;51.88648;4.403767;0;152;152;6;2021-01-11 23:14:51
219019002;55.44956;8.471177;0;112;191;5;2021-01-11 23:16:23
229044000;24.26612;120.5199;1;22;198;5;2021-01-11 23:16:30
245924000;51.89042;4.298267;0;73;233;5;2021-01-11 23:18:37
245179000;51.89317;4.286334;1;342;128;5;2021-01-11 23:22:28
245924000;51.89043;4.298278;0;73;226;5;2021-01-12 00:00:14
219019002;55.44955;8.471169;0;111;240;5;2021-01-12 00:04:24
245179000;51.89317;4.286334;1;342;121;5;2021-01-12 00:04:29
229044000;24.26617;120.5199;0;22;292;5;2021-01-12 00:04:31
246777000;51.8939;4.449564;0;104;277;5;2021-01-12 00:07:50
215644000;55.45907;8.436196;0;181;312;5;2021-01-12 00:12:02
229080000;57.69417;-4.032;1;87;162;0;2021-01-12 00:17:43
253366000;51.88648;4.4038;0;152;152;6;2021-01-12 00:20:12
229080000;57.69417;-4.032;0;87;152;0;2021-01-12 01:00:32
253366000;51.8865;4.403783;1;152;242;6;2021-01-12 01:02:22
245924000;51.89045;4.298234;0;73;225;5;2021-01-12 01:02:35
245179000;51.89317;4.286334;1;342;213;5;2021-01-12 01:07:28
229044000;24.26611;120.5199;2;22;23;5;2021-01-12 01:10:33
246777000;51.89389;4.449557;0;104;93;5;2021-01-12 01:14:00
219019002;55.44956;8.471169;0;111;262;5;2021-01-12 01:16:26
215644000;55.45899;8.436045;0;181;312;5;2021-01-12 01:18:05
245924000;51.89043;4.29825;0;74;288;5;2021-01-12 02:04:58
229080000;57.69417;-4.032;1;87;7;0;2021-01-12 02:05:22
253366000;51.88648;4.4038;0;152;152;6;2021-01-12 02:06:40
219019002;55.44955;8.471184;0;112;107;5;2021-01-12 02:07:13
245179000;51.89317;4.286334;0;342;359;5;2021-01-12 02:10:33
229044000;24.26613;120.5199;1;22;152;5;2021-01-12 02:16:36
246777000;51.89389;4.44956;0;104;150;5;2021-01-12 02:18:39
215644000;55.45903;8.43614;0;180;312;5;2021-01-12 02:21:05
215644000;55.45908;8.436047;0;180;312;5;2021-01-12 03:03:04
246777000;51.8939;4.449558;0;104;7;5;2021-01-12 03:03:10
245924000;51.89043;4.298234;0;74;126;5;2021-01-12 03:07:24
229080000;57.69417;-4.032;0;87;71;0;2021-01-12 03:10:02
219019002;55.44957;8.471165;0;111;105;5;2021-01-12 03:10:30
253366000;51.88648;4.403783;0;152;152;6;2021-01-12 03:11:41
245179000;51.89317;4.286334;0;342;84;5;2021-01-12 03:16:36
229044000;24.26611;120.5198;1;22;174;5;2021-01-12 03:22:38
219019002;55.44954;8.471302;0;111;48;5;2021-01-12 04:01:16
245179000;51.89317;4.286334;0;511;242;5;2021-01-12 04:04:38
229044000;24.26611;120.5199;0;22;183;5;2021-01-12 04:04:39
215644000;55.45894;8.435839;0;181;312;5;2021-01-12 04:06:03
246777000;51.8939;4.44956;0;104;226;5;2021-01-12 04:06:20
245924000;51.89043;4.298234;0;73;200;5;2021-01-12 04:09:47
229080000;57.69417;-4.032;0;87;172;0;2021-01-12 04:14:52
253366000;51.88648;4.403783;0;152;152;6;2021-01-12 04:17:30
253366000;51.88648;4.403767;0;152;152;6;2021-01-12 05:00:32
229044000;24.26611;120.5199;1;22;122;5;2021-01-12 05:07:38
215644000;55.459;8.43595;0;181;312;5;2021-01-12 05:09:05
219019002;55.44956;8.47118;0;111;296;5;2021-01-12 05:10:33
246777000;51.8939;4.449557;0;104;301;5;2021-01-12 05:12:00
245924000;51.89045;4.298242;0;73;290;5;2021-01-12 05:12:11
245179000;51.89317;4.286334;0;342;71;5;2021-01-12 05:16:40
229080000;57.69417;-4.032;1;87;213;0;2021-01-12 05:20:31
229080000;57.69417;-4.032;0;87;259;0;2021-01-12 06:01:32
253366000;51.88645;4.403783;0;152;152;6;2021-01-12 06:02:51
229044000;24.26612;120.5199;0;22;103;5;2021-01-12 06:10:43
215644000;55.45913;8.436022;0;180;312;5;2021-01-12 06:12:05
245924000;51.89045;4.298247;0;73;251;5;2021-01-12 06:14:35
246777000;51.89389;4.449557;0;104;346;5;2021-01-12 06:19:00
245179000;51.89317;4.286334;1;511;231;5;2021-01-12 06:22:42
219019002;55.44954;8.471175;0;111;302;5;2021-01-12 06:25:22
246777000;51.89389;4.449552;0;104;300;5;2021-01-12 07:04:20
229080000;57.69417;-4.032;0;87;202;0;2021-01-12 07:07:51
253366000;51.88648;4.40375;0;152;152;6;2021-01-12 07:09:51
219019002;55.44955;8.471205;0;111;235;5;2021-01-12 07:10:37
245179000;51.89317;4.286334;1;342;192;5;2021-01-12 07:10:44
229044000;24.26613;120.5198;1;22;246;5;2021-01-12 07:13:42
215644000;55.459;8.436283;0;180;199;5;2021-01-12 07:15:05
245924000;51.89043;4.298286;0;73;74;5;2021-01-12 07:17:04
229080000;57.69417;-4.032;2;87;225;0;2021-01-12 08:10:42
246777000;51.89389;4.449558;0;104;228;5;2021-01-12 08:11:11
229044000;24.26613;120.5199;0;22;5;5;2021-01-12 08:16:47
253366000;51.88648;4.403783;1;152;332;6;2021-01-12 08:17:41
215644000;55.45903;8.435748;0;181;199;5;2021-01-12 08:18:05
245924000;51.89043;4.29825;0;73;255;5;2021-01-12 08:19:30
219019002;55.44956;8.47119;0;111;225;5;2021-01-12 08:25:25
245179000;51.89317;4.286334;1;511;284;5;2021-01-12 08:28:46
215644000;55.45895;8.436;0;180;199;5;2021-01-12 09:00:04
245924000;51.89045;4.298267;0;73;277;5;2021-01-12 09:01:09
253366000;51.88648;4.403783;0;152;152;6;2021-01-12 09:03:12
219019002;55.44954;8.471197;0;111;238;5;2021-01-12 09:10:41
229080000;57.69417;-4.032;2;87;201;0;2021-01-12 09:14:12
246777000;51.89389;4.449565;0;104;264;5;2021-01-12 09:16:19
245179000;51.89317;4.286334;1;342;84;5;2021-01-12 09:16:48
229044000;24.26612;120.5199;0;22;292;5;2021-01-12 09:19:46
229044000;24.26613;120.5199;0;22;310;5;2021-01-12 10:01:47
245924000;51.89043;4.298234;0;73;285;5;2021-01-12 10:03:38
245179000;51.89317;4.286334;1;342;248;5;2021-01-12 10:04:49
215644000;55.45907;8.436196;0;181;199;5;2021-01-12 10:09:06
253366000;51.88647;4.4038;0;152;152;6;2021-01-12 10:09:21
219019002;55.44957;8.471287;0;111;330;5;2021-01-12 10:16:43
229080000;57.69417;-4.032;1;88;333;3;2021-01-12 10:16:53
246777000;51.89393;4.449584;0;104;102;5;2021-01-12 10:21:30
229080000;57.67417;-3.945667;90;118;117;0;2021-01-12 11:00:52
219019002;55.44956;8.47115;0;111;43;5;2021-01-12 11:04:45
229044000;24.26612;120.5199;1;22;76;5;2021-01-12 11:04:52
246777000;51.89389;4.44956;0;104;199;5;2021-01-12 11:06:01
245924000;51.89044;4.298255;0;73;201;5;2021-01-12 11:06:11
253366000;51.88647;4.403783;0;152;152;6;2021-01-12 11:13:32
245179000;51.89317;4.286334;1;342;7;5;2021-01-12 11:13:47
215644000;55.45898;8.436002;0;181;199;5;2021-01-12 11:15:10
229080000;57.7435;-3.708167;99;49;52;0;2021-01-12 12:00:12
229044000;24.26618;120.5199;2;22;333;5;2021-01-12 12:07:52
245924000;51.89043;4.29825;0;73;97;5;2021-01-12 12:08:37
246777000;51.8939;4.449557;0;104;108;5;2021-01-12 12:14:20
219019002;55.44953;8.471178;0;111;126;5;2021-01-12 12:16:48
253366000;51.8865;4.403767;1;152;62;6;2021-01-12 12:18:22
215644000;55.45904;8.436057;0;181;199;5;2021-01-12 12:21:10
245179000;51.89317;4.286334;0;342;256;5;2021-01-12 12:22:53
229080000;57.854;-3.466;100;47;51;0;2021-01-12 13:02:12
215644000;55.45904;8.436125;0;181;199;5;2021-01-12 13:03:09
253366000;51.8865;4.403783;0;152;152;6;2021-01-12 13:03:33
219019002;55.4497;8.471345;0;111;77;5;2021-01-12 13:04:49
245179000;51.89317;4.286334;1;342;155;5;2021-01-12 13:10:54
229044000;24.26612;120.5199;0;21;15;5;2021-01-12 13:10:56
245924000;51.89043;4.298254;0;71;261;5;2021-01-12 13:11:00
246777000;51.89389;4.44955;0;104;87;5;2021-01-12 13:18:30
229080000;57.9565;-3.2475;95;47;53;0;2021-01-12 14:00:11
246777000;51.89388;4.449558;0;104;113;5;2021-01-12 14:02:30
245924000;51.8909;4.301434;6;72;130;5;2021-01-12 14:07:30
253366000;51.88647;4.403783;0;152;152;6;2021-01-12 14:07:51
215644000;55.45896;8.436172;0;181;199;5;2021-01-12 14:09:07
245179000;51.89317;4.286334;0;342;1;5;2021-01-12 14:13:53
229044000;24.26613;120.5199;0;21;116;5;2021-01-12 14:13:56
219019002;55.4495;8.471245;0;111;269;5;2021-01-12 14:16:51
229080000;58.06083;-3.025167;84;34;39;0;2021-01-12 15:01:42
219019002;55.44955;8.47119;0;111;28;5;2021-01-12 15:04:52
245924000;51.8897;4.303822;0;71;277;0;2021-01-12 15:06:07
246777000;51.89388;4.449574;0;104;359;5;2021-01-12 15:10:29
253366000;51.88648;4.403783;0;152;152;6;2021-01-12 15:13:11
229044000;24.26613;120.5199;3;22;315;5;2021-01-12 15:17:00
215644000;55.45901;8.436283;0;180;199;5;2021-01-12 15:18:10
245179000;51.89317;4.286334;0;342;182;5;2021-01-12 15:22:58
215644000;55.45909;8.436007;0;181;199;5;2021-01-12 16:00:05
245924000;51.92507;4.22884;86;325;102;0;2021-01-12 16:00:36
229080000;58.17667;-2.872833;10;48;169;0;2021-01-12 16:01:32
245179000;51.89317;4.286334;1;342;145;5;2021-01-12 16:04:59
219019002;55.44959;8.471122;0;111;226;5;2021-01-12 16:10:54
246777000;51.89388;4.44956;0;104;276;5;2021-01-12 16:15:00
253366000;51.88648;4.403783;0;152;152;6;2021-01-12 16:17:00
229044000;24.26612;120.5199;0;22;73;5;2021-01-12 16:20:00
253366000;51.88648;4.403783;0;152;152;6;2021-01-12 17:00:02
245924000;51.99763;4.027933;88;310;52;0;2021-01-12 17:00:04
246777000;51.89389;4.449555;0;104;205;5;2021-01-12 17:00:30
219019002;55.44957;8.471185;0;111;99;5;2021-01-12 17:01:41
229044000;24.26611;120.5199;1;22;181;5;2021-01-12 17:02:02
215644000;55.45903;8.436091;0;180;199;5;2021-01-12 17:03:06
229080000;58.17916;-2.858167;8;95;184;3;2021-01-12 17:07:22
245179000;51.89317;4.286334;1;342;46;5;2021-01-12 17:07:59
229080000;58.1945;-2.8115;49;56;64;3;2021-01-12 18:00:43
245924000;52.0592;3.986417;52;62;214;0;2021-01-12 18:01:15
246777000;51.89389;4.449557;0;104;352;5;2021-01-12 18:04:09
229044000;24.26613;120.5199;1;22;129;5;2021-01-12 18:05:05
253366000;51.88647;4.403783;0;152;152;6;2021-01-12 18:05:52
215644000;55.45901;8.43591;0;181;306;5;2021-01-12 18:09:03
219019002;55.44949;8.471202;0;111;282;5;2021-01-12 18:10:57
245179000;51.89317;4.286334;1;342;211;5;2021-01-12 18:11:03
229080000;58.206;-2.765667;4;206;54;3;2021-01-12 19:00:03
229044000;24.26612;120.5199;1;22;16;5;2021-01-12 19:08:06
246777000;51.89389;4.44956;0;104;257;5;2021-01-12 19:10:00
215644000;55.45901;8.436067;0;181;306;5;2021-01-12 19:12:08
253366000;51.88648;4.403783;0;152;152;6;2021-01-12 19:14:00
245179000;51.89317;4.286334;1;342;6;5;2021-01-12 19:14:03
245924000;52.10088;4.026067;1;355;126;3;2021-01-12 19:18:25
219019002;55.44957;8.471213;0;111;9;5;2021-01-12 19:23:00
229080000;58.20617;-2.7645;1;200;126;3;2021-01-12 20:01:13
245924000;52.10099;4.026038;3;357;40;3;2021-01-12 20:02:35
219019002;55.44955;8.471255;0;111;159;5;2021-01-12 20:11:01
229044000;24.26612;120.5199;1;22;187;5;2021-01-12 20:11:09
215644000;55.45901;8.436044;0;181;306;5;2021-01-12 20:15:09
245179000;51.89317;4.286334;1;342;145;5;2021-01-12 20:17:06
246777000;51.89389;4.449555;0;104;179;5;2021-01-12 20:17:30
253366000;51.88648;4.403767;0;152;152;6;2021-01-12 20:18:41
246777000;51.89389;4.449555;0;104;135;5;2021-01-12 21:00:20
219019002;55.44958;8.471162;0;111;18;5;2021-01-12 21:01:49
253366000;51.88647;4.403783;0;152;152;6;2021-01-12 21:03:00
229080000;58.20617;-2.7645;1;200;336;15;2021-01-12 21:03:33
245924000;52.1004;4.02555;0;349;332;3;2021-01-12 21:07:36
229044000;24.26611;120.5199;5;22;334;5;2021-01-12 21:14:10
215644000;55.45896;8.435968;1;181;275;5;2021-01-12 21:18:08
245179000;51.89317;4.286334;1;342;87;5;2021-01-12 21:20:07
215644000;55.4591;8.436123;0;181;275;5;2021-01-12 22:00:09
245179000;51.89317;4.286334;0;342;11;5;2021-01-12 22:02:08
219019002;55.44956;8.471115;0;111;44;5;2021-01-12 22:05:06
246777000;51.89389;4.44955;0;104;158;5;2021-01-12 22:05:40
229080000;58.20617;-2.7645;1;200;3;15;2021-01-12 22:06:53
253366000;51.88647;4.403767;0;152;152;6;2021-01-12 22:07:12
245924000;52.10038;4.025583;0;350;227;3;2021-01-12 22:11:44
229044000;24.26612;120.5199;2;22;319;5;2021-01-12 22:20:13
229044000;24.26611;120.5199;1;22;40;5;2021-01-12 23:02:15
215644000;55.45901;8.436033;0;181;275;5;2021-01-12 23:06:10
245179000;51.89317;4.286334;1;511;285;5;2021-01-12 23:08:10
229080000;58.20617;-2.7645;1;200;253;15;2021-01-12 23:11:03
246777000;51.89389;4.449557;0;104;223;5;2021-01-12 23:13:30
253366000;51.88648;4.403767;0;152;152;6;2021-01-12 23:13:52
219019002;55.44958;8.471117;0;111;22;5;2021-01-12 23:13:55
245924000;52.10033;4.025367;2;327;303;3;2021-01-12 23:18:04
245924000;52.10037;4.025665;0;319;12;3;2021-01-13 00:02:35
229044000;24.26626;120.5199;0;22;20;5;2021-01-13 00:05:17
245179000;51.89317;4.286334;2;342;321;5;2021-01-13 00:11:13
215644000;55.45898;8.43604;0;181;275;5;2021-01-13 00:12:12
229080000;58.20617;-2.7645;1;200;28;15;2021-01-13 00:13:32
246777000;51.89388;4.449562;0;104;286;5;2021-01-13 00:17:30
253366000;51.88648;4.4038;0;152;152;6;2021-01-13 00:19:30
219019002;55.44955;8.471158;0;111;254;5;2021-01-13 00:23:10
246777000;51.89389;4.449564;0;104;248;5;2021-01-13 01:01:00
253366000;51.8865;4.403783;0;152;152;6;2021-01-13 01:03:52
245924000;52.10033;4.02528;1;288;100;3;2021-01-13 01:07:54
229044000;24.26612;120.5199;0;22;183;5;2021-01-13 01:08:18
219019002;55.44955;8.471209;0;111;65;5;2021-01-13 01:11:12
245179000;51.89317;4.286334;1;342;12;5;2021-01-13 01:14:15
229080000;58.20617;-2.7645;1;200;288;15;2021-01-13 01:17:32
215644000;55.45901;8.43616;0;181;275;5;2021-01-13 01:18:12
215644000;55.45908;8.436077;0;181;275;5;2021-01-13 02:00:10
246777000;51.89388;4.449572;0;104;298;5;2021-01-13 02:06:29
253366000;51.88647;4.403783;0;152;152;6;2021-01-13 02:10:12
229044000;24.26612;120.5199;0;22;28;5;2021-01-13 02:11:20
245924000;52.10012;4.025065;3;280;120;3;2021-01-13 02:14:06
245179000;51.89317;4.286334;1;342;345;5;2021-01-13 02:17:18
229080000;58.20617;-2.7645;0;200;331;15;2021-01-13 02:20:22
219019002;55.44958;8.471145;0;111;254;5;2021-01-13 02:23:13
229080000;58.20617;-2.7645;1;200;167;15;2021-01-13 03:02:41
215644000;55.45903;8.43627;1;180;275;5;2021-01-13 03:09:12
219019002;55.44953;8.471164;0;111;256;5;2021-01-13 03:11:15
