timestamp,2 metre temperature,2 metre dewpoint temperature,Mean wave period,Total precipitation,Mean wave direction,Significant height of combined wind waves and swell,10 metre U wind component,10 metre V wind component
2017-01-13 04:00:00+00:00,277.24462890625,273.33154296875,6.417448997497559,,326.030517578125,2.519625663757324,10.74738883972168,-7.783660888671875
2017-01-13 05:00:00+00:00,276.926025390625,271.7666015625,6.335654258728027,,322.9140625,2.5063552856445312,11.280348777770996,-6.223560333251953
2017-01-13 06:00:00+00:00,276.37744140625,271.247314453125,6.3516082763671875,6.672689778497443e-07,319.487060546875,2.5177001953125,11.868836402893066,-3.419253349304199
2017-01-13 07:00:00+00:00,276.369140625,271.07373046875,6.322696685791016,,314.652099609375,2.537443161010742,12.901613235473633,-2.305501937866211
2017-01-13 08:00:00+00:00,276.50732421875,271.882080078125,6.291963577270508,,310.0234375,2.616558074951172,13.622882843017578,-1.8977975845336914
2017-01-13 09:00:00+00:00,276.7158203125,272.65869140625,6.338746070861816,,307.9013671875,2.6898880004882812,13.835582733154297,-2.3290176391601562
2017-01-13 10:00:00+00:00,275.8994140625,275.259033203125,6.525686264038086,,308.902587890625,2.657285690307617,11.827013969421387,-0.9215055704116821
2017-01-13 11:00:00+00:00,278.596435546875,276.735107421875,6.831345558166504,,316.20556640625,2.9074325561523438,10.428326606750488,-9.616228103637695
2017-01-13 12:00:00+00:00,279.30517578125,276.029052734375,7.271658897399902,,326.863525390625,3.5565500259399414,8.593367576599121,-16.071334838867188
2017-01-13 13:00:00+00:00,279.129150390625,275.535400390625,7.738324165344238,,332.632080078125,4.2081756591796875,9.962248802185059,-14.701119422912598
2017-01-13 14:00:00+00:00,279.0185546875,275.305908203125,8.185543060302734,,334.56787109375,4.558988571166992,10.712843894958496,-13.464098930358887
2017-01-13 15:00:00+00:00,278.868408203125,274.96044921875,8.571792602539062,,335.676513671875,4.737034797668457,11.273365020751953,-13.550617218017578
2017-01-13 16:00:00+00:00,278.697998046875,274.659423828125,8.917092323303223,,336.764404296875,4.889698028564453,11.245315551757812,-13.790722846984863
2017-01-13 17:00:00+00:00,278.538818359375,274.345947265625,9.241623878479004,,338.223876953125,5.013958930969238,10.699004173278809,-14.086106300354004
2017-01-13 18:00:00+00:00,278.1806640625,273.52294921875,9.546228408813477,0.0001256098912563175,340.14404296875,5.059892654418945,9.97982120513916,-14.10156536102295
2017-01-13 19:00:00+00:00,277.8115234375,272.331787109375,9.202398300170898,,342.104248046875,4.597492218017578,9.444469451904297,-14.22738265991211
2017-01-13 20:00:00+00:00,277.2763671875,272.656982421875,9.447717666625977,,343.47509765625,4.6675004959106445,8.921977043151855,-14.29636001586914
2017-01-13 21:00:00+00:00,277.01513671875,273.128662109375,9.59557056427002,,344.490478515625,4.622021675109863,8.800718307495117,-13.553975105285645
2017-01-13 22:00:00+00:00,277.025390625,273.528076171875,9.649622917175293,,345.2138671875,4.454678535461426,9.324936866760254,-12.660163879394531
2017-01-13 23:00:00+00:00,277.146728515625,272.897705078125,9.58899974822998,,345.34716796875,4.286787986755371,9.656463623046875,-11.984536170959473
2017-01-14 00:00:00+00:00,277.156494140625,271.971923828125,9.485082626342773,,345.453125,4.091846466064453,9.761809349060059,-10.776192665100098
2017-01-14 01:00:00+00:00,277.139404296875,271.46875,9.404426574707031,,345.642578125,3.8675756454467773,9.546060562133789,-9.103508949279785
2017-01-14 02:00:00+00:00,276.904541015625,271.05419921875,9.259831428527832,,345.6142578125,3.591555595397949,9.87629508972168,-7.126090049743652
2017-01-14 03:00:00+00:00,276.7666015625,270.906982421875,9.084314346313477,,344.9482421875,3.3431625366210938,10.895113945007324,-4.799388885498047
2017-01-14 04:00:00+00:00,276.692138671875,271.735595703125,8.862797737121582,,343.291748046875,3.1395483016967773,11.154925346374512,-3.219882011413574
2017-01-14 05:00:00+00:00,276.6875,273.119140625,8.603870391845703,,340.770263671875,2.9787397384643555,11.133712768554688,-2.275918960571289
2017-01-14 06:00:00+00:00,276.9248046875,273.85595703125,8.278755187988281,6.141462654341012e-05,337.283935546875,2.883999824523926,11.972039222717285,-4.454758644104004
2017-01-14 07:00:00+00:00,277.406494140625,273.62841796875,7.951241493225098,,334.121826171875,2.963303565979004,10.665572166442871,-7.712812423706055
2017-01-14 08:00:00+00:00,277.55615234375,273.520751953125,7.747653961181641,,334.717041015625,3.043977737426758,8.906392097473145,-10.781975746154785
2017-01-14 09:00:00+00:00,277.502685546875,273.760009765625,7.714752197265625,,337.669921875,3.0742015838623047,6.469886779785156,-11.14846134185791
