timestamp,100 metre V wind component,Significant height of combined wind waves and swell,Mean wave period,Mean wave direction,100 metre U wind component
2015-11-03 03:00:00+00:00,7.819414138793945,1.031022071838379,4.88545036315918,215.41563415527344,1.1577110290527344
2015-11-03 04:00:00+00:00,7.378901481628418,1.0274171829223633,4.917133331298828,215.16262817382812,1.4752655029296875
2015-11-03 05:00:00+00:00,6.897576332092285,1.0163774490356445,4.948334693908691,215.25782775878906,1.4400949478149414
2015-11-03 06:00:00+00:00,6.59969425201416,0.9980573654174805,4.984711647033691,215.55130004882812,1.155426025390625
2015-11-03 07:00:00+00:00,6.586043357849121,0.9784969091415405,5.003750801086426,215.71435546875,1.1417112350463867
2015-11-03 08:00:00+00:00,6.743561744689941,0.9691305756568909,4.974470138549805,215.57455444335938,1.8782310485839844
2015-11-03 09:00:00+00:00,6.7166547775268555,0.9670616388320923,4.920026779174805,215.7462921142578,2.7274131774902344
2015-11-03 10:00:00+00:00,6.092222213745117,0.9512149095535278,4.909125328063965,216.32138061523438,2.605257987976074
2015-11-03 11:00:00+00:00,5.31351375579834,0.9256648421287537,4.932225227355957,217.6829376220703,2.9119672775268555
2015-11-03 12:00:00+00:00,4.611919403076172,0.8963311910629272,4.969331741333008,219.3399658203125,3.153580665588379
2015-11-03 13:00:00+00:00,3.73358154296875,0.8645411133766174,5.025108337402344,221.1760711669922,3.0808467864990234
2015-11-03 14:00:00+00:00,3.313626289367676,0.8322116732597351,5.09861946105957,223.01791381835938,2.6096534729003906
2015-11-03 15:00:00+00:00,3.615743637084961,0.8033536672592163,5.16765022277832,224.76910400390625,2.3244857788085938
2015-11-03 16:00:00+00:00,3.880617141723633,0.7798566818237305,5.217559814453125,226.3961181640625,2.1062746047973633
2015-11-03 17:00:00+00:00,4.038280487060547,0.7594946026802063,5.263132095336914,227.91799926757812,1.762247085571289
2015-11-03 18:00:00+00:00,4.405820846557617,0.7469235062599182,5.266596794128418,228.92237854003906,1.6696710586547852
2015-11-03 19:00:00+00:00,4.5322675704956055,0.7800717353820801,5.390946388244629,229.61087036132812,2.0430164337158203
2015-11-03 20:00:00+00:00,4.424808502197266,0.7661246061325073,5.447508811950684,231.17552185058594,2.3779687881469727
2015-11-03 21:00:00+00:00,4.245340347290039,0.7533439993858337,5.51529598236084,232.95614624023438,2.6774845123291016
2015-11-03 22:00:00+00:00,2.4924468994140625,0.732937753200531,5.677731513977051,235.23883056640625,2.0039758682250977
2015-11-03 23:00:00+00:00,2.9207191467285156,0.7177014350891113,5.822907447814941,237.58831787109375,0.9465160369873047
2015-11-04 00:00:00+00:00,4.042799949645996,0.7132188677787781,5.941155433654785,239.3364715576172,0.718909740447998
2015-11-04 01:00:00+00:00,5.182068824768066,0.7075458765029907,5.942255973815918,239.5406494140625,1.0554780960083008
2015-11-04 02:00:00+00:00,5.214635848999023,0.7052948474884033,5.946306228637695,239.5193634033203,1.6390008926391602
2015-11-04 03:00:00+00:00,3.965479850769043,0.7002567648887634,6.013566970825195,240.38706970214844,1.5971097946166992
2015-11-04 04:00:00+00:00,3.1345081329345703,0.6898325085639954,6.1502885818481445,242.27435302734375,0.4636760950088501
