timestamp,2 metre temperature,Mean wave period,Mean wave direction,Significant height of combined wind waves and swell,2 metre dewpoint temperature,10 metre V wind component,Total precipitation,10 metre U wind component
2015-11-17 22:00:00+00:00,285.658935546875,6.505389213562012,247.9293212890625,3.610658645629883,283.718505859375,7.6634016036987305,,15.399892807006836
2015-11-17 23:00:00+00:00,285.687744140625,6.934772491455078,250.82981872558594,3.855008125305176,283.453125,6.76821231842041,,14.217166900634766
2015-11-18 00:00:00+00:00,285.5283203125,7.223332405090332,253.9198760986328,3.9879837036132812,283.121826171875,5.655710220336914,,16.523208618164062
2015-11-18 01:00:00+00:00,285.427978515625,7.4421281814575195,256.872314453125,4.196739196777344,282.915283203125,4.089603424072266,,16.247528076171875
2015-11-18 02:00:00+00:00,285.789794921875,7.616002082824707,260.455322265625,4.358153343200684,282.692138671875,2.153352737426758,,16.868087768554688
2015-11-18 03:00:00+00:00,285.60595703125,7.71058464050293,266.75732421875,4.4420576095581055,282.841552734375,-2.0474729537963867,,16.759017944335938
2015-11-18 04:00:00+00:00,284.325439453125,7.682167053222656,274.3994140625,4.298558235168457,282.251953125,-6.4637250900268555,,15.606136322021484
2015-11-18 05:00:00+00:00,284.22119140625,7.576951026916504,281.114501953125,4.143296241760254,279.677978515625,-7.879037857055664,,13.429718017578125
2015-11-18 06:00:00+00:00,283.62255859375,7.520922660827637,283.8232421875,3.9542675018310547,280.2841796875,-5.732114791870117,0.00027150288224220276,13.22760009765625
2015-11-18 07:00:00+00:00,283.7392578125,7.494085311889648,283.88671875,3.890597343444824,280.677490234375,-4.267458915710449,,14.597728729248047
2015-11-18 08:00:00+00:00,284.2021484375,7.484275817871094,282.420166015625,3.895440101623535,279.92626953125,-2.7472095489501953,,14.542766571044922
2015-11-18 09:00:00+00:00,284.478759765625,7.4740753173828125,281.002197265625,3.7310972213745117,279.396484375,-1.5282392501831055,,14.071248054504395
2015-11-18 10:00:00+00:00,284.72265625,7.425339698791504,279.4404296875,3.4974212646484375,279.455322265625,1.091282844543457,,13.30248737335205
2015-11-18 11:00:00+00:00,284.9775390625,7.322355270385742,277.266845703125,3.293060302734375,279.393798828125,3.3364248275756836,,13.281752586364746
2015-11-18 12:00:00+00:00,284.7470703125,7.153567314147949,273.958984375,3.151103973388672,280.33447265625,5.468305587768555,,12.328330993652344
2015-11-18 13:00:00+00:00,285.189453125,6.973111152648926,270.22998046875,3.0065689086914062,280.32958984375,6.736244201660156,,10.30500602722168
2015-11-18 14:00:00+00:00,285.00390625,6.807071685791016,266.684326171875,2.829440116882324,281.242919921875,8.686506271362305,,9.481193542480469
2015-11-18 15:00:00+00:00,284.96142578125,6.601795196533203,260.880126953125,2.8122568130493164,282.33740234375,9.259957313537598,,9.808239936828613
2015-11-18 16:00:00+00:00,285.544921875,6.452667236328125,254.3772735595703,2.940382957458496,282.487548828125,10.133935928344727,,11.077027320861816
2015-11-18 17:00:00+00:00,285.66552734375,6.455938339233398,248.17308044433594,3.2567310333251953,282.829345703125,11.436819076538086,,12.209206581115723
