timestamp,Significant height of combined wind waves and swell,2 metre dewpoint temperature,Mean wave direction,10 metre V wind component,Total precipitation,10 metre U wind component,2 metre temperature,Mean wave period
2015-03-16 13:00:00+00:00,0.8546833395957947,277.022216796875,66.78707885742188,-0.10571497678756714,,-3.9615859985351562,278.853759765625,5.406280517578125
2015-03-16 14:00:00+00:00,0.8326374888420105,277.147216796875,66.61537170410156,0.24925577640533447,,-3.7384605407714844,278.891845703125,5.449093818664551
2015-03-16 15:00:00+00:00,0.8141674995422363,277.26611328125,66.49893188476562,0.477619469165802,,-3.6585464477539062,278.888916015625,5.481679916381836
2015-03-16 16:00:00+00:00,0.7992594838142395,277.37939453125,66.37641906738281,0.295648992061615,,-3.7192153930664062,278.797119140625,5.50737190246582
2015-03-16 17:00:00+00:00,0.7881398797035217,277.4404296875,66.26530456542969,-0.06772619485855103,,-4.026095390319824,278.656982421875,5.526424407958984
2015-03-16 18:00:00+00:00,0.9419267773628235,277.490478515625,66.26406860351562,-0.15084940195083618,0.0,-4.000572204589844,278.431396484375,6.074241638183594
2015-03-16 19:00:00+00:00,0.9206030368804932,277.4326171875,66.18696594238281,-0.0765504240989685,,-3.8527374267578125,278.376953125,6.080921173095703
2015-03-16 20:00:00+00:00,0.9065132141113281,277.351806640625,66.05685424804688,0.0630408525466919,,-3.642062187194824,278.333251953125,6.107870101928711
2015-03-16 21:00:00+00:00,0.893754243850708,277.325439453125,65.90620422363281,0.12605500221252441,,-3.1807594299316406,278.35205078125,6.147244453430176
2015-03-16 22:00:00+00:00,0.881397008895874,276.3857421875,65.8302001953125,0.5286005139350891,,-3.26608943939209,278.13037109375,6.179502487182617
2015-03-16 23:00:00+00:00,0.8615160584449768,276.549560546875,65.6473388671875,-0.15636736154556274,,-2.1400928497314453,278.064453125,6.181098937988281
2015-03-17 00:00:00+00:00,0.8463031053543091,276.74560546875,65.47650146484375,-0.8539263606071472,,-2.3815879821777344,278.018310546875,6.179262161254883
2015-03-17 01:00:00+00:00,0.8318914175033569,276.79736328125,65.30207824707031,-1.0119152069091797,,-1.9052419662475586,277.868408203125,6.176796913146973
2015-03-17 02:00:00+00:00,0.8164818286895752,276.95556640625,65.13059997558594,-1.178889274597168,,-1.351445198059082,277.824951171875,6.174973487854004
2015-03-17 03:00:00+00:00,0.8009592294692993,277.12451171875,64.967041015625,-0.8342137336730957,,-1.2193212509155273,277.82373046875,6.164695739746094
2015-03-17 04:00:00+00:00,0.784972608089447,277.477294921875,64.80267333984375,-0.43415820598602295,,-0.8041680455207825,278.118408203125,6.147770881652832
2015-03-17 05:00:00+00:00,0.7692047357559204,277.26318359375,64.61381530761719,-0.2029133439064026,,-0.15494078397750854,277.50341796875,6.123333930969238
2015-03-17 06:00:00+00:00,0.7533398270606995,276.520263671875,64.40084838867188,0.31208735704421997,3.546433617884759e-06,0.5629958510398865,276.654296875,6.0927934646606445
2015-03-17 07:00:00+00:00,0.7375559210777283,275.860107421875,64.18687438964844,0.6986433863639832,,1.1708755493164062,275.97021484375,6.061064720153809
2015-03-17 08:00:00+00:00,0.7218796610832214,275.9775390625,63.96380615234375,0.7192959785461426,,1.4411134719848633,276.12158203125,6.03157901763916
2015-03-17 09:00:00+00:00,0.7077450752258301,276.6923828125,63.695648193359375,0.7358073592185974,,1.4626359939575195,276.830078125,5.995450019836426
2015-03-17 10:00:00+00:00,0.6902742385864258,277.05322265625,63.45420837402344,0.9817538261413574,,0.3934522867202759,278.10546875,6.000883102416992
2015-03-17 11:00:00+00:00,0.6775810122489929,276.76611328125,63.20399475097656,0.9716355204582214,,0.05117504671216011,278.648193359375,5.96687126159668
2015-03-17 12:00:00+00:00,0.6653938293457031,277.090576171875,62.95649719238281,1.299757957458496,,-0.23497873544692993,278.93994140625,5.933727264404297
2015-03-17 13:00:00+00:00,0.6538125276565552,277.30322265625,62.71026611328125,1.1921043395996094,,-1.5360116958618164,279.01220703125,5.9022722244262695
2015-03-17 14:00:00+00:00,0.6474183797836304,277.21044921875,62.853118896484375,1.379195213317871,,-2.1861867904663086,279.011474609375,5.800846099853516
2015-03-17 15:00:00+00:00,0.6394320130348206,277.18359375,63.143768310546875,1.2196502685546875,,-2.2146596908569336,278.91015625,5.737570762634277
