timestamp,10 metre V wind component,Total precipitation,Mean wave period,2 metre dewpoint temperature,Significant height of combined wind waves and swell,10 metre U wind component,Mean wave direction,2 metre temperature
2017-09-01 00:00:00+00:00,1.724233627319336,,4.4492645263671875,284.664794921875,0.3669029474258423,0.49830788373947144,11.69296646118164,288.962158203125
2017-09-01 01:00:00+00:00,0.6983970999717712,,4.487455368041992,285.0029296875,0.3616780638694763,0.5082105994224548,9.10020923614502,288.842041015625
2017-09-01 02:00:00+00:00,0.8196927309036255,,4.544005393981934,285.2548828125,0.35591769218444824,0.4671406149864197,6.778253555297852,288.744140625
2017-09-01 03:00:00+00:00,0.4136033058166504,,4.589554786682129,285.521728515625,0.3523672819137573,0.41212815046310425,4.7291765213012695,288.66259765625
2017-09-01 04:00:00+00:00,-0.6595944166183472,,4.638998031616211,285.475341796875,0.3502175807952881,0.5199589729309082,3.3305482864379883,288.494873046875
2017-09-01 05:00:00+00:00,-1.5301685333251953,,4.681463241577148,285.390625,0.3487911820411682,0.3643050193786621,2.2328109741210938,288.466552734375
2017-09-01 06:00:00+00:00,-1.927506446838379,2.1473999368026853e-05,4.778964042663574,284.67236328125,0.3455902934074402,0.06921696662902832,1.1574487686157227,288.599609375
2017-09-01 07:00:00+00:00,-1.8926706314086914,,4.897095680236816,284.5654296875,0.34212738275527954,-0.2884376645088196,0.04785420000553131,288.64208984375
2017-09-01 08:00:00+00:00,-1.8351268768310547,,5.039012908935547,284.3798828125,0.33874696493148804,-0.4026011824607849,358.8681640625,288.75439453125
2017-09-01 09:00:00+00:00,-2.000706672668457,,5.168237686157227,284.3017578125,0.33731675148010254,-0.11045008897781372,357.726318359375,288.751708984375
2017-09-01 10:00:00+00:00,-1.2528753280639648,,5.570225715637207,284.220703125,0.32212209701538086,0.014621395617723465,356.720458984375,288.659912109375
2017-09-01 11:00:00+00:00,-1.9700794219970703,,5.662134170532227,284.452392578125,0.3251057267189026,0.47787702083587646,355.483154296875,288.640869140625
2017-09-01 12:00:00+00:00,-2.579636573791504,,5.703666687011719,284.62060546875,0.3310990333557129,0.5278116464614868,354.533935546875,288.602294921875
2017-09-01 13:00:00+00:00,-3.2434139251708984,,5.6933698654174805,284.837646484375,0.3411012887954712,0.40125977993011475,354.572021484375,288.601318359375
2017-09-01 14:00:00+00:00,-3.6298952102661133,,5.643186569213867,285.0341796875,0.35402441024780273,0.1327875852584839,354.5244140625,288.567138671875
2017-09-01 15:00:00+00:00,-3.9491968154907227,,5.530551910400391,285.176513671875,0.37180209159851074,-0.08013129234313965,355.5234375,288.488525390625
2017-09-01 16:00:00+00:00,-4.125384330749512,,5.365994453430176,285.251953125,0.39450156688690186,-0.4251377582550049,357.879150390625,288.474365234375
2017-09-01 17:00:00+00:00,-4.166774749755859,,5.293460845947266,285.34033203125,0.4118077754974365,-1.0902137756347656,359.623046875,288.43994140625
2017-09-01 18:00:00+00:00,-3.9687318801879883,0.0,5.34262752532959,285.419677734375,0.42074304819107056,-1.4262218475341797,0.17619341611862183,288.43994140625
2017-09-01 19:00:00+00:00,-3.620633125305176,,5.558017730712891,285.458984375,0.43229180574417114,-1.5439443588256836,359.9140625,288.427490234375
2017-09-01 20:00:00+00:00,-3.314596176147461,,5.836129188537598,285.429443359375,0.44007962942123413,-1.5212631225585938,359.198486328125,288.398681640625
2017-09-01 21:00:00+00:00,-2.9300708770751953,,6.012066841125488,285.291259765625,0.44943398237228394,-1.5007810592651367,358.75830078125,288.3486328125
2017-09-01 22:00:00+00:00,-3.2963943481445312,,6.101284980773926,285.362548828125,0.458402156829834,-1.7939872741699219,359.07080078125,288.380859375
2017-09-01 23:00:00+00:00,-3.246487617492676,,6.129009246826172,284.983154296875,0.4698328375816345,-1.552098274230957,358.935302734375,288.3349609375
2017-09-02 00:00:00+00:00,-3.2452220916748047,,6.13107967376709,284.956787109375,0.4821251630783081,-0.989815354347229,358.756591796875,288.13232421875
2017-09-02 01:00:00+00:00,-3.551830291748047,,6.110561370849609,284.817138671875,0.49574851989746094,-0.47956496477127075,358.517578125,288.034423828125
2017-09-02 02:00:00+00:00,-3.4732437133789062,,6.109494209289551,284.379150390625,0.5137322545051575,-0.31063371896743774,358.307861328125,287.995361328125
