timestamp,Mean wave direction,Significant height of combined wind waves and swell,Total precipitation,2 metre temperature,Mean wave period,2 metre dewpoint temperature,10 metre U wind component,10 metre V wind component
2017-06-01 00:00:00+00:00,358.31884765625,0.801584780216217,,285.627685546875,6.182857513427734,282.918701171875,-2.484100341796875,4.737883567810059
2017-06-01 01:00:00+00:00,359.9521484375,0.7937418818473816,,285.633544921875,6.082640647888184,282.927490234375,-2.6317520141601562,4.969485282897949
2017-06-01 02:00:00+00:00,2.402313232421875,0.7875937819480896,,285.650146484375,5.951102256774902,282.96240234375,-2.3122081756591797,5.234663963317871
2017-06-01 03:00:00+00:00,4.678361892700195,0.776936948299408,,285.71875,5.842050552368164,283.02197265625,-2.1099720001220703,5.212004661560059
2017-06-01 04:00:00+00:00,5.46646785736084,0.7575382590293884,,285.7939453125,5.783843994140625,283.090576171875,-2.1753358840942383,5.316241264343262
2017-06-01 05:00:00+00:00,6.735536575317383,0.7421354055404663,,285.9072265625,5.675786018371582,283.177978515625,-2.028862953186035,5.657825469970703
2017-06-01 06:00:00+00:00,9.694820404052734,0.736626386642456,0.00011244005872868001,286.06494140625,5.494363784790039,283.341064453125,-1.8315715789794922,5.814960479736328
2017-06-01 07:00:00+00:00,14.617396354675293,0.7355154156684875,,286.317138671875,5.308223724365234,283.6240234375,-1.7360601425170898,5.997357368469238
2017-06-01 08:00:00+00:00,20.719268798828125,0.7274580597877502,,286.683349609375,5.194795608520508,284.0595703125,-1.5838079452514648,5.784035682678223
2017-06-01 09:00:00+00:00,25.850662231445312,0.7109713554382324,,287.0439453125,5.142180442810059,284.532958984375,-1.5748682022094727,5.472373962402344
2017-06-01 10:00:00+00:00,26.017257690429688,0.684014081954956,,287.3017578125,5.159616470336914,285.0205078125,-1.666982650756836,4.855438232421875
2017-06-01 11:00:00+00:00,27.681243896484375,0.6646205186843872,,287.5751953125,5.144818305969238,285.180908203125,-2.149052619934082,4.607637405395508
2017-06-01 12:00:00+00:00,31.85626220703125,0.6497875452041626,,287.763916015625,5.123247146606445,285.247802734375,-2.372823715209961,4.337806701660156
2017-06-01 13:00:00+00:00,39.7508544921875,0.6396172642707825,,287.908447265625,5.097604751586914,285.131591796875,-2.7484779357910156,4.17855167388916
2017-06-01 14:00:00+00:00,51.5872802734375,0.6370317339897156,,287.841064453125,5.045313835144043,284.98876953125,-3.469341278076172,4.020465850830078
2017-06-01 15:00:00+00:00,65.44497680664062,0.6467289328575134,,287.75537109375,4.944368362426758,284.943603515625,-3.8039684295654297,4.357227325439453
2017-06-01 16:00:00+00:00,77.48176574707031,0.6593765020370483,,287.8134765625,4.854901313781738,284.964111328125,-3.848567008972168,5.004453659057617
2017-06-01 17:00:00+00:00,86.49235534667969,0.667256772518158,,287.932373046875,4.80998420715332,285.062255859375,-3.4933080673217773,5.454977989196777
2017-06-01 18:00:00+00:00,89.9429931640625,0.6613544225692749,0.0,288.016357421875,4.84088134765625,285.185791015625,-2.7396469116210938,5.730069160461426
2017-06-01 19:00:00+00:00,89.31587219238281,0.6458927392959595,,288.033447265625,4.915322303771973,285.312744140625,-2.0751237869262695,5.798478126525879
2017-06-01 20:00:00+00:00,86.02845764160156,0.6287760734558105,,288.12890625,4.997312545776367,285.53466796875,-1.7825937271118164,6.012495994567871
2017-06-01 21:00:00+00:00,81.28857421875,0.6154709458351135,,288.244140625,5.064505577087402,285.75537109375,-1.427999496459961,6.342670440673828
2017-06-01 22:00:00+00:00,82.26519775390625,0.6114049553871155,,288.187255859375,5.071176528930664,285.17236328125,-1.5573463439941406,6.455252647399902
2017-06-01 23:00:00+00:00,82.37562561035156,0.6107959747314453,,288.142578125,5.069954872131348,285.074462890625,-0.9642559289932251,6.526737213134766
2017-06-17 00:00:00+00:00,317.296875,0.461736261844635,,288.71923828125,4.481402397155762,286.678955078125,5.200586318969727,-0.3778374195098877
2017-06-17 01:00:00+00:00,315.72314453125,0.45943760871887207,,288.761474609375,4.318769454956055,286.782958984375,5.632745742797852,-0.19589978456497192
2017-06-17 02:00:00+00:00,313.550537109375,0.4589749574661255,,288.759033203125,4.154416084289551,286.891845703125,6.072980880737305,-0.13848328590393066
2017-06-17 03:00:00+00:00,310.867919921875,0.46174556016921997,,288.658935546875,3.976511001586914,286.98388671875,6.293328285217285,-0.32428067922592163
2017-06-17 04:00:00+00:00,308.607177734375,0.46284300088882446,,288.46337890625,3.8315210342407227,287.016845703125,6.184667587280273,-0.6237326860427856
2017-06-17 05:00:00+00:00,307.564453125,0.4587414860725403,,288.296142578125,3.7380943298339844,287.015380859375,5.938858985900879,-0.673835813999176
2017-06-17 06:00:00+00:00,307.403076171875,0.4487689733505249,0.0,288.18994140625,3.683734893798828,286.9990234375,5.640510559082031,-0.5809677243232727
2017-06-17 07:00:00+00:00,308.0166015625,0.43263792991638184,,288.15771484375,3.662816047668457,286.999755859375,5.410371780395508,-0.34744805097579956
2017-06-17 08:00:00+00:00,309.353515625,0.41137057542800903,,288.214111328125,3.6761789321899414,287.039306640625,5.030948638916016,-0.08424311876296997
2017-06-17 09:00:00+00:00,311.14794921875,0.3875710368156433,,288.319580078125,3.7163801193237305,287.11865234375,4.452796936035156,0.4480636715888977
2017-06-17 10:00:00+00:00,312.806884765625,0.36204105615615845,,289.057861328125,3.7706127166748047,287.56298828125,3.353588104248047,1.0091028213500977
2017-06-17 11:00:00+00:00,314.568603515625,0.34390896558761597,,289.314208984375,3.793628692626953,287.781494140625,2.581216812133789,1.3642864227294922
