timestamp,10 metre V wind component,Mean wave direction,Mean wave period,2 metre dewpoint temperature,2 metre temperature,Significant height of combined wind waves and swell,10 metre U wind component,Total precipitation
2017-05-02 19:00:00+00:00,-6.008871078491211,49.50611877441406,4.901724815368652,279.912109375,282.583740234375,1.2398929595947266,-5.277173042297363,
2017-05-02 20:00:00+00:00,-6.680225372314453,49.73591613769531,4.957274436950684,279.66455078125,282.658935546875,1.268681526184082,-5.494279861450195,
2017-05-02 21:00:00+00:00,-6.983824729919434,49.677337646484375,4.993478775024414,279.381103515625,282.699462890625,1.3148441314697266,-5.883602142333984,
2017-05-02 22:00:00+00:00,-6.931179046630859,49.45668029785156,5.04429817199707,279.123046875,282.70361328125,1.3477210998535156,-5.260861396789551,
2017-05-02 23:00:00+00:00,-7.290426254272461,48.82672119140625,5.072676658630371,278.987060546875,282.6572265625,1.384709358215332,-5.31746768951416,
2017-05-09 00:00:00+00:00,-5.3020219802856445,6.100682258605957,7.345410346984863,278.53759765625,281.8955078125,1.6076135635375977,-1.0245847702026367,
2017-05-09 01:00:00+00:00,-5.277853965759277,6.896113395690918,7.477816581726074,279.154296875,281.869140625,1.6407470703125,-1.585470199584961,
2017-05-09 02:00:00+00:00,-5.2118988037109375,7.668404579162598,7.458259582519531,279.177734375,281.86328125,1.6082744598388672,-1.7985544204711914,
2017-05-09 03:00:00+00:00,-5.306344032287598,8.407687187194824,7.404460906982422,279.201171875,281.822021484375,1.5779485702514648,-1.7204551696777344,
2017-05-09 04:00:00+00:00,-5.536032676696777,9.12636661529541,7.319087028503418,279.239501953125,281.734619140625,1.5487995147705078,-1.7063026428222656,
2017-05-09 05:00:00+00:00,-6.192633628845215,9.806646347045898,7.228650093078613,279.122314453125,281.666748046875,1.5297260284423828,-1.8337469100952148,
2017-05-09 06:00:00+00:00,-6.973384857177734,10.393218994140625,7.097621917724609,278.666748046875,281.57958984375,1.5033149719238281,-2.072904586791992,9.161245543509722e-06
2017-05-09 07:00:00+00:00,-6.913167953491211,10.919685363769531,6.961787223815918,278.24072265625,281.375,1.4776859283447266,-2.1995668411254883,
2017-05-09 08:00:00+00:00,-6.027606010437012,11.369563102722168,6.856340408325195,277.648681640625,281.1455078125,1.4455528259277344,-2.09592342376709,
2017-05-09 09:00:00+00:00,-4.9885711669921875,11.723956108093262,6.799155235290527,276.932373046875,280.980224609375,1.406646728515625,-1.8583011627197266,
2017-05-09 10:00:00+00:00,-4.634573936462402,12.02132797241211,6.782958030700684,275.695556640625,281.255859375,1.3638849258422852,-1.5814008712768555,
2017-05-09 11:00:00+00:00,-4.0266876220703125,12.242480278015137,6.794247627258301,275.431640625,281.3193359375,1.3194122314453125,-1.0501794815063477,
2017-05-09 12:00:00+00:00,-3.556629180908203,12.40700912475586,6.817953109741211,275.31591796875,281.406982421875,1.276179313659668,-0.2977568507194519,
2017-05-09 13:00:00+00:00,-3.432248115539551,12.541699409484863,6.838680267333984,275.492919921875,281.39697265625,1.2364215850830078,0.30730217695236206,
2017-05-09 14:00:00+00:00,-3.5993337631225586,12.643468856811523,6.845616340637207,275.77685546875,281.363037109375,1.2009773254394531,0.6636887788772583,
2017-05-09 15:00:00+00:00,-3.660381317138672,12.709752082824707,6.841378211975098,275.96337890625,281.3154296875,1.1692867279052734,0.8083243370056152,
2017-05-09 16:00:00+00:00,-3.3904714584350586,12.764801025390625,6.83544921875,276.195068359375,281.240966796875,1.1396331787109375,0.7083427309989929,
2017-05-09 17:00:00+00:00,-2.9935178756713867,12.818309783935547,6.834257125854492,276.3369140625,281.1142578125,1.110671043395996,0.5668584704399109,
2017-05-09 18:00:00+00:00,-2.5037546157836914,12.850948333740234,6.83238410949707,276.338134765625,281.069580078125,1.0831785202026367,0.5281550884246826,7.638315082658664e-07
2017-05-09 19:00:00+00:00,-1.9022045135498047,12.86081600189209,7.016630172729492,276.318359375,281.01513671875,1.123478889465332,0.615079939365387,
2017-05-09 20:00:00+00:00,-1.4262504577636719,12.922721862792969,7.012962341308594,276.35009765625,280.979736328125,1.096003532409668,0.5587393641471863,
2017-05-09 21:00:00+00:00,-0.822110652923584,12.97533893585205,6.999063491821289,276.3427734375,280.91162109375,1.0691280364990234,0.5284772515296936,
2017-05-09 22:00:00+00:00,1.2957124710083008,12.97922134399414,6.953557968139648,275.79052734375,280.49609375,1.0446958541870117,0.9237707853317261,
