timestamp,10 metre U wind component,Mean wave direction,2 metre dewpoint temperature,10 metre V wind component,Total precipitation,2 metre temperature,Significant height of combined wind waves and swell,Mean wave period
2016-09-01 00:00:00+00:00,4.049807548522949,299.237548828125,286.380126953125,-2.8200740814208984,,289.982177734375,0.4142872095108032,3.1474828720092773
2016-09-01 01:00:00+00:00,4.599791526794434,300.363525390625,286.23828125,-2.5171585083007812,,289.7607421875,0.4163147807121277,3.1577186584472656
2016-09-01 02:00:00+00:00,5.102812767028809,300.672607421875,286.126953125,-2.476332664489746,,289.538330078125,0.4213537573814392,3.1607255935668945
2016-09-01 03:00:00+00:00,4.839788436889648,300.673828125,286.09423828125,-2.2439966201782227,,289.3896484375,0.42101573944091797,3.1790857315063477
2016-09-01 04:00:00+00:00,4.675983428955078,300.989501953125,286.0048828125,-1.8426809310913086,,289.262939453125,0.41373491287231445,3.2145023345947266
2016-09-01 05:00:00+00:00,4.662616729736328,301.2919921875,285.94873046875,-1.6072883605957031,,289.143310546875,0.4068008065223694,3.2431211471557617
2016-09-01 06:00:00+00:00,4.864073753356934,301.356689453125,285.8779296875,-1.553384780883789,0.0,289.0556640625,0.4064302444458008,3.2525901794433594
2016-09-01 07:00:00+00:00,5.2211408615112305,301.128173828125,285.8173828125,-1.4910345077514648,,288.992919921875,0.41086989641189575,3.260848045349121
2016-09-01 08:00:00+00:00,5.075479507446289,301.446044921875,285.7626953125,-0.9013429880142212,,288.9609375,0.40664762258529663,3.3127660751342773
2016-09-01 09:00:00+00:00,5.05207633972168,301.42626953125,285.712646484375,-0.3054359555244446,,288.97509765625,0.40097588300704956,3.3747034072875977
2016-09-01 10:00:00+00:00,4.533053398132324,301.568603515625,285.799072265625,0.07517343759536743,,289.31201171875,0.39104998111724854,3.4499454498291016
2016-09-01 11:00:00+00:00,4.235872268676758,302.528076171875,285.5341796875,0.5087310671806335,,289.53271484375,0.38258326053619385,3.5577259063720703
2016-09-01 12:00:00+00:00,3.743250846862793,303.976806640625,285.295654296875,0.7515633702278137,,289.805908203125,0.3733157515525818,3.6821136474609375
2016-09-01 13:00:00+00:00,2.6778430938720703,305.878662109375,285.31982421875,0.9374219179153442,,290.124267578125,0.36433935165405273,3.815699577331543
2016-09-01 14:00:00+00:00,1.0170869827270508,307.529296875,285.580810546875,1.2858257293701172,,290.353515625,0.35851675271987915,3.9167137145996094
2016-09-01 15:00:00+00:00,-0.13499367237091064,309.16015625,285.918212890625,1.470637321472168,,290.51806640625,0.3586016297340393,3.9467716217041016
2016-09-01 16:00:00+00:00,-1.2002382278442383,310.31396484375,286.41259765625,2.0997657775878906,,290.62109375,0.3578287363052368,3.9833688735961914
2016-09-01 17:00:00+00:00,-2.4268226623535156,309.65283203125,287.004150390625,3.2351741790771484,,290.624267578125,0.36105263233184814,3.964448928833008
2016-09-01 18:00:00+00:00,-2.246058464050293,303.595947265625,287.41357421875,4.027894020080566,0.0,290.664306640625,0.37445276975631714,3.861292839050293
2016-09-01 19:00:00+00:00,-1.09283447265625,279.228759765625,287.65380859375,4.167811393737793,,290.7958984375,0.39071303606033325,3.755101203918457
2016-09-01 20:00:00+00:00,0.14844602346420288,264.794921875,287.697265625,4.383693695068359,,290.93359375,0.40901046991348267,3.6712465286254883
2016-09-01 21:00:00+00:00,1.4352779388427734,254.58853149414062,287.374267578125,4.935797691345215,,291.085693359375,0.4239770174026489,3.5997228622436523
2016-09-01 22:00:00+00:00,2.58528995513916,229.82301330566406,287.111328125,5.160213470458984,,291.175048828125,0.4577568769454956,3.4635009765625
2016-09-01 23:00:00+00:00,4.182426452636719,219.00979614257812,286.95166015625,4.81158447265625,,291.018310546875,0.5194969773292542,3.3135194778442383
2016-09-02 00:00:00+00:00,6.087021827697754,221.12673950195312,286.869384765625,4.531497001647949,,290.76513671875,0.5933717489242554,3.2649431228637695
2016-09-02 01:00:00+00:00,6.183236122131348,225.43182373046875,286.780029296875,4.9202985763549805,,290.382568359375,0.6564189195632935,3.3060407638549805
2016-09-02 02:00:00+00:00,6.903365135192871,228.13577270507812,286.505615234375,4.376625061035156,,290.07666015625,0.7028626203536987,3.375730514526367
2016-09-02 03:00:00+00:00,6.922883987426758,231.2523651123047,286.02099609375,3.971158027648926,,289.728759765625,0.7454306483268738,3.4517946243286133
2016-09-02 04:00:00+00:00,6.937224388122559,233.86863708496094,285.70947265625,4.082513809204102,,289.423095703125,0.7531605362892151,3.5213794708251953
2016-09-02 05:00:00+00:00,6.580109596252441,234.27862548828125,285.7060546875,4.426982879638672,,289.238037109375,0.7513241767883301,3.5591917037963867
2016-09-02 06:00:00+00:00,6.340000152587891,232.47186279296875,285.882568359375,4.992046356201172,0.0005098613910377026,288.98046875,0.7605736255645752,3.576657295227051
2016-09-02 07:00:00+00:00,6.036218643188477,230.27679443359375,285.987548828125,5.498687744140625,,288.828857421875,0.7831862568855286,3.593226432800293
2016-09-02 08:00:00+00:00,6.125278472900391,228.05361938476562,286.196533203125,5.9413557052612305,,288.947509765625,0.8166307210922241,3.617147445678711
2016-09-02 09:00:00+00:00,6.142261505126953,226.72317504882812,286.44091796875,5.693743705749512,,289.141845703125,0.8437936305999756,3.6572418212890625
2016-09-02 10:00:00+00:00,5.610267639160156,226.74391174316406,287.50244140625,5.551016807556152,,289.974365234375,0.8060534596443176,3.698200225830078
2016-09-02 11:00:00+00:00,6.198395729064941,227.91343688964844,287.90185546875,4.609219551086426,,290.3486328125,0.7874069809913635,3.7062902450561523
2016-09-02 12:00:00+00:00,5.901145935058594,229.17276000976562,288.190673828125,4.148372650146484,,290.7099609375,0.740912914276123,3.718081474304199
2016-09-02 13:00:00+00:00,5.658125877380371,230.0035858154297,288.359130859375,3.9024171829223633,,291.010986328125,0.6867271661758423,3.727008819580078
2016-09-02 14:00:00+00:00,5.644232749938965,230.58331298828125,288.476318359375,3.5093421936035156,,291.189208984375,0.6372451782226562,3.7273292541503906
2016-09-02 15:00:00+00:00,5.651558876037598,231.0858917236328,288.559326171875,3.6004810333251953,,291.252685546875,0.6021970510482788,3.703385353088379
2016-09-02 16:00:00+00:00,5.40696907043457,231.5785369873047,288.5966796875,3.686001777648926,,291.290283203125,0.5664627552032471,3.6999893188476562
2016-09-02 17:00:00+00:00,4.5716047286987305,231.8334503173828,288.570556640625,3.753084182739258,,291.33447265625,0.5256563425064087,3.731161117553711
2016-09-02 18:00:00+00:00,4.848264694213867,232.01683044433594,288.474365234375,3.554025650024414,2.480114926584065e-05,291.348876953125,0.48859018087387085,3.7721261978149414
2016-09-02 19:00:00+00:00,5.099000930786133,232.46209716796875,288.2939453125,2.846371650695801,,291.23046875,0.46246522665023804,3.79744815826416
2016-09-02 20:00:00+00:00,5.450201034545898,233.71441650390625,288.06689453125,1.9214143753051758,,291.02880859375,0.4482879638671875,3.818775177001953
2016-09-02 21:00:00+00:00,5.615447044372559,236.32485961914062,287.757080078125,1.2529630661010742,,290.846923828125,0.4435505270957947,3.852696418762207
2016-09-02 22:00:00+00:00,6.0800275802612305,240.70211791992188,287.860595703125,1.6554203033447266,,290.79541015625,0.4512128233909607,3.847783088684082
2016-09-02 23:00:00+00:00,6.219326019287109,245.15049743652344,287.68310546875,1.2020740509033203,,290.54931640625,0.4689748287200928,3.832034111022949
2016-09-03 00:00:00+00:00,6.110691070556641,249.0661163330078,287.538818359375,1.0410518646240234,,290.279541015625,0.4888368844985962,3.817319869995117
2016-09-03 01:00:00+00:00,5.734236717224121,252.36782836914062,287.389404296875,1.1700267791748047,,289.99072265625,0.5085090398788452,3.8213586807250977
2016-09-03 02:00:00+00:00,5.572537422180176,255.14341735839844,287.137939453125,1.1850976943969727,,289.73388671875,0.5207130312919617,3.8544845581054688
2016-09-03 03:00:00+00:00,5.826536178588867,257.896484375,286.72509765625,1.116659164428711,,289.4580078125,0.5261502265930176,3.9101057052612305
2016-09-03 04:00:00+00:00,6.35063362121582,259.568603515625,286.39990234375,1.504694938659668,,289.141845703125,0.5524230599403381,3.8770952224731445
2016-09-03 05:00:00+00:00,6.343497276306152,261.244140625,286.262939453125,1.2117223739624023,,288.84521484375,0.5780892372131348,3.8794403076171875
2016-09-03 06:00:00+00:00,5.472431182861328,264.34130859375,286.2392578125,0.7680726647377014,0.0,288.620361328125,0.5619940161705017,4.025058746337891
