index,known_windfarms_index,windfarm_name,vessel_name,cluster_name,latitude,longitude,begin,end,cluster_fpath
28,89,Borkum Riffgrund 2,229080000-bold-tern,cluster-11,53.94925871508379,6.494126645251397,2018-05-04 04:20:58+00:00,2018-09-02 19:08:03+00:00,data/marinetraffic/clustered/229080000-bold-tern/cluster-11/229080000-bold-tern_cluster-11.csv
29,98,Merkur,235090598-blue-tern,cluster-7,54.03589970762906,6.547455858382824,2018-02-23 01:02:12+00:00,2019-03-10 02:04:28+00:00,data/marinetraffic/clustered/235090598-blue-tern/cluster-7/235090598-blue-tern_cluster-7.csv
30,103,Trianel Borkum 2,235090598-blue-tern,cluster-7,54.03589970762906,6.547455858382824,2018-02-23 01:02:12+00:00,2019-03-10 02:04:28+00:00,data/marinetraffic/clustered/235090598-blue-tern/cluster-7/235090598-blue-tern_cluster-7.csv
31,98,Merkur,235090598-blue-tern,cluster-14,54.05092639257295,6.441713371352785,2020-03-26 00:37:29+00:00,2020-05-16 05:28:37+00:00,data/marinetraffic/clustered/235090598-blue-tern/cluster-14/235090598-blue-tern_cluster-14.csv
32,103,Trianel Borkum 2,235090598-blue-tern,cluster-14,54.05092639257295,6.441713371352785,2020-03-26 00:37:29+00:00,2020-05-16 05:28:37+00:00,data/marinetraffic/clustered/235090598-blue-tern/cluster-14/235090598-blue-tern_cluster-14.csv
33,87,Albatros,235090598-blue-tern,cluster-10,54.417154999999994,6.3749732689075636,2019-04-14 23:23:28+00:00,2019-05-26 12:08:18+00:00,data/marinetraffic/clustered/235090598-blue-tern/cluster-10/235090598-blue-tern_cluster-10.csv
34,87,Albatros,235090598-blue-tern,cluster-11,54.43850323293172,6.306270534136546,2019-05-02 09:17:17+00:00,2019-07-25 06:04:42+00:00,data/marinetraffic/clustered/235090598-blue-tern/cluster-11/235090598-blue-tern_cluster-11.csv
35,73,Nobelwind,253366000-vole-au-vent,cluster-2,51.68812633959512,2.806285881998906,2016-12-09 06:14:16+00:00,2021-11-18 10:03:00+00:00,data/marinetraffic/clustered/253366000-vole-au-vent/cluster-2/253366000-vole-au-vent_cluster-2.csv
36,101,Northwester 2,253366000-vole-au-vent,cluster-2,51.68812633959512,2.806285881998906,2016-12-09 06:14:16+00:00,2021-11-18 10:03:00+00:00,data/marinetraffic/clustered/253366000-vole-au-vent/cluster-2/253366000-vole-au-vent_cluster-2.csv
37,97,Kriegers Flak,253366000-vole-au-vent,cluster-9,55.0280316765755,12.929760398335315,2021-01-26 07:17:25+00:00,2021-06-05 00:18:51+00:00,data/marinetraffic/clustered/253366000-vole-au-vent/cluster-9/253366000-vole-au-vent_cluster-9.csv
38,80,Tahkoluoto,253366000-vole-au-vent,cluster-3,61.6134159125964,21.410062892030847,2017-05-22 10:14:28+00:00,2017-07-05 08:00:51+00:00,data/marinetraffic/clustered/253366000-vole-au-vent/cluster-3/253366000-vole-au-vent_cluster-3.csv
39,87,Albatros,229044000-brave-tern,cluster-2,54.45862265154333,6.271718519152101,2013-04-22 04:13:00+00:00,2019-12-28 15:10:35+00:00,data/marinetraffic/clustered/229044000-brave-tern/cluster-2/229044000-brave-tern_cluster-2.csv
40,47,Global Tech I,229044000-brave-tern,cluster-2,54.45862265154333,6.271718519152101,2013-04-22 04:13:00+00:00,2019-12-28 15:10:35+00:00,data/marinetraffic/clustered/229044000-brave-tern/cluster-2/229044000-brave-tern_cluster-2.csv
41,71,Wikinger,229044000-brave-tern,cluster-6,54.83645496959646,14.067856683250417,2017-01-18 06:01:34+00:00,2017-10-23 07:00:04+00:00,data/marinetraffic/clustered/229044000-brave-tern/cluster-6/229044000-brave-tern_cluster-6.csv
42,95,Horns Rev 3,229044000-brave-tern,cluster-9,55.694457849954254,7.656554451967063,2018-07-18 13:10:29+00:00,2019-01-20 20:14:29+00:00,data/marinetraffic/clustered/229044000-brave-tern/cluster-9/229044000-brave-tern_cluster-9.csv
43,68,Rampion,245924000-adventure,cluster-12,50.66610428571428,-0.26120053492063494,2017-06-10 12:01:57+00:00,2021-02-22 19:14:46+00:00,data/marinetraffic/clustered/245924000-adventure/cluster-12/245924000-adventure_cluster-12.csv
44,57,Amrumbank West,245924000-adventure,cluster-6,54.51848323452485,7.699740564080208,2015-02-05 14:08:21+00:00,2018-01-13 06:16:19+00:00,data/marinetraffic/clustered/245924000-adventure/cluster-6/245924000-adventure_cluster-6.csv
45,41,Teesside,245924000-adventure,cluster-3,54.64405370283018,-1.0930667193396226,2013-01-05 01:09:00+00:00,2013-06-02 09:22:00+00:00,data/marinetraffic/clustered/245924000-adventure/cluster-3/245924000-adventure_cluster-3.csv
46,66,Sandbank,245924000-adventure,cluster-11,55.208180765521405,6.847074397830019,2016-05-11 05:16:52+00:00,2017-01-22 04:14:45+00:00,data/marinetraffic/clustered/245924000-adventure/cluster-11/245924000-adventure_cluster-11.csv
47,41,Teesside,245924000-adventure,cluster-1,54.585540669811316,-1.192002555188679,2011-05-13 07:02:00+00:00,2020-07-07 15:14:13+00:00,data/marinetraffic/clustered/245924000-adventure/cluster-1/245924000-adventure_cluster-1.csv
