index,location_key,latitude,longitude,start,end,duration,distance_centroid
37,location_32,54.0272776,6.052917360000001,2015-08-16 08:09:48+00:00,2016-04-03 20:16:24+00:00,231 days 12:06:36,5197.827628028238
38,location_33,54.010340000000014,5.884809826086957,2015-08-19 06:17:29+00:00,2016-07-19 23:20:09+00:00,335 days 17:02:40,6496.373935562234
39,location_34,54.00593533333333,5.890819933333333,2015-08-21 07:09:17+00:00,2016-07-21 09:12:09+00:00,335 days 02:02:52,6382.488647063109
40,location_35,54.0052715625,5.876842999999999,2015-08-22 19:12:38+00:00,2016-07-13 00:09:56+00:00,325 days 04:57:18,7214.701805238231
41,location_36,54.038885,5.907752875,2015-08-23 08:23:36+00:00,2015-08-24 04:00:12+00:00,0 days 19:36:36,4379.389259364583
42,location_37,54.03643406250001,6.0390584375,2015-08-27 05:59:31+00:00,2015-12-16 11:04:27+00:00,111 days 05:04:56,4212.58570293384
43,location_38,54.045626666666664,5.82668025,2015-08-27 23:14:58+00:00,2016-08-19 19:05:58+00:00,357 days 19:51:00,9721.923057338734
44,location_39,54.049685,5.86903925,2015-08-28 16:01:44+00:00,2015-08-28 23:16:58+00:00,0 days 07:15:14,7068.605513914914
45,location_4,54.0645275,6.0057305,2015-07-10 12:13:36+00:00,2015-07-11 06:00:27+00:00,0 days 17:46:51,3815.68660609143
46,location_40,54.01965,5.8900950000000005,2015-08-30 06:18:07+00:00,2015-08-30 16:15:25+00:00,0 days 09:57:18,5791.978566462692
47,location_41,54.05782,5.91098,2015-08-30 19:12:25+00:00,2015-08-31 16:01:04+00:00,0 days 20:48:39,4837.031126413783
48,location_42,54.03928714285714,5.878759285714286,2015-09-08 15:15:14+00:00,2015-09-09 00:00:33+00:00,0 days 08:45:19,6270.593811773939
49,location_43,54.004851666666674,5.9278268333333335,2015-09-09 03:42:36+00:00,2016-08-23 20:12:26+00:00,349 days 16:29:50,4575.4534370215515
50,location_44,54.04238,6.058189166666668,2015-09-10 21:30:18+00:00,2016-05-18 09:08:28+00:00,250 days 11:38:10,5513.587118395486
51,location_45,54.03667,5.92320125,2015-09-11 14:25:48+00:00,2015-09-11 18:34:55+00:00,0 days 04:09:07,3356.985919814975
52,location_46,54.04137833333332,5.892625166666668,2015-09-12 05:01:13+00:00,2016-06-11 13:20:26+00:00,273 days 08:19:13,5390.662944000152
53,location_47,54.045238,6.069583200000001,2015-09-13 15:03:36+00:00,2015-09-14 02:10:01+00:00,0 days 11:06:25,6297.848185088662
54,location_48,54.03837333333333,6.046566833333333,2015-09-14 10:04:15+00:00,2016-05-19 08:03:14+00:00,247 days 21:58:59,4712.376983699175
