timestamp,2 metre temperature,Mean wave period,10 metre U wind component,Total precipitation,Significant height of combined wind waves and swell,2 metre dewpoint temperature,Mean wave direction,10 metre V wind component
2017-08-04 16:00:00+00:00,290.91748046875,4.313406944274902,6.630281448364258,,0.8488556146621704,285.9267578125,265.140869140625,0.5866952538490295
2017-08-04 17:00:00+00:00,290.914306640625,4.2833452224731445,6.314892768859863,,0.8001013994216919,285.81640625,269.281005859375,-0.16032767295837402
2017-08-04 18:00:00+00:00,290.837158203125,4.271746635437012,6.066187858581543,0.0,0.7613115906715393,285.7314453125,273.98828125,-0.7140517830848694
2017-08-04 19:00:00+00:00,290.698974609375,4.274806976318359,6.059864044189453,,0.7309313416481018,285.6083984375,278.9150390625,-1.0180597305297852
2017-08-04 20:00:00+00:00,290.51318359375,4.272344589233398,6.168428421020508,,0.7119128704071045,285.393798828125,283.763916015625,-1.2876911163330078
2017-08-04 21:00:00+00:00,290.2255859375,4.251406669616699,6.33973503112793,,0.7050427794456482,285.0283203125,288.248046875,-1.487691879272461
2017-08-04 22:00:00+00:00,289.9306640625,4.276711463928223,6.634272575378418,,0.6928240060806274,284.6220703125,291.731201171875,-1.2429094314575195
2017-08-04 23:00:00+00:00,289.51123046875,4.263364791870117,6.978867530822754,,0.6928809881210327,284.1484375,294.744140625,-1.7051677703857422
2017-08-05 00:00:00+00:00,289.02978515625,4.235215187072754,7.130009651184082,,0.6982177495956421,283.85791015625,297.791259765625,-2.1268815994262695
2017-08-05 01:00:00+00:00,288.661865234375,4.237179756164551,6.328638076782227,,0.6967785954475403,283.808349609375,301.1416015625,-2.422581672668457
2017-08-05 02:00:00+00:00,288.396240234375,4.243155479431152,6.217452049255371,,0.6997582316398621,283.7998046875,303.309326171875,-2.4775753021240234
2017-08-05 03:00:00+00:00,288.150146484375,4.238167762756348,6.389314651489258,,0.7123705744743347,283.7705078125,304.879150390625,-2.5265464782714844
2017-08-05 04:00:00+00:00,287.927978515625,4.246971130371094,6.254386901855469,,0.728803813457489,283.7216796875,306.769287109375,-2.6530981063842773
2017-08-05 05:00:00+00:00,287.7666015625,4.279770851135254,6.104530334472656,,0.745302140712738,283.64404296875,308.833984375,-2.693483352661133
2017-08-05 06:00:00+00:00,287.646728515625,4.348502159118652,6.009451866149902,0.0,0.7559410929679871,283.5546875,311.19384765625,-2.7771835327148438
2017-08-05 07:00:00+00:00,287.564697265625,4.455253601074219,6.03275203704834,,0.7569084763526917,283.52294921875,313.806884765625,-2.7657289505004883
2017-08-05 08:00:00+00:00,287.515380859375,4.55856990814209,6.074164390563965,,0.7582459449768066,283.48974609375,316.207275390625,-2.5551137924194336
2017-08-05 09:00:00+00:00,287.59716796875,4.646357536315918,6.06497859954834,,0.7655083537101746,283.31298828125,318.158935546875,-2.2019729614257812
2017-08-05 10:00:00+00:00,288.0986328125,4.621100425720215,6.8433122634887695,,0.8021960258483887,283.315185546875,317.657958984375,-1.5165233612060547
2017-08-05 11:00:00+00:00,288.5322265625,4.629722595214844,6.866292953491211,,0.835963785648346,282.94921875,317.5244140625,-1.553696632385254
2017-08-05 12:00:00+00:00,288.929931640625,4.7313690185546875,5.8362531661987305,,0.8440346717834473,282.398193359375,319.31591796875,-1.7907524108886719
2017-08-05 13:00:00+00:00,289.357666015625,4.837825775146484,5.101122856140137,,0.8432961702346802,282.02197265625,321.391357421875,-2.0068464279174805
2017-08-05 14:00:00+00:00,289.578857421875,5.141996383666992,5.97865104675293,,0.9230455160140991,281.89990234375,323.1005859375,-1.3269319534301758
2017-08-05 15:00:00+00:00,289.73486328125,5.2722578048706055,5.656741142272949,,0.9060009121894836,282.292724609375,326.00732421875,-1.0093727111816406
