timestamp,Mean wave period,100 metre V wind component,100 metre U wind component,Significant height of combined wind waves and swell,Mean wave direction
2017-07-09 17:00:00+00:00,3.356734275817871,10.557339668273926,-2.5325937271118164,0.5837687849998474,152.99256896972656
2017-07-09 18:00:00+00:00,3.4054765701293945,11.512943267822266,-2.6285839080810547,0.6297623515129089,154.56024169921875
2017-07-09 19:00:00+00:00,3.469515800476074,12.162997245788574,-2.583329200744629,0.6662851572036743,155.7507781982422
2017-07-09 20:00:00+00:00,3.515059471130371,12.133882522583008,-2.377030372619629,0.689511775970459,156.62155151367188
2017-07-09 21:00:00+00:00,3.547222137451172,11.468565940856934,-1.9852676391601562,0.7083032131195068,157.4205322265625
2017-07-09 22:00:00+00:00,3.5809202194213867,10.800859451293945,-1.9988021850585938,0.6981826424598694,156.9574737548828
2017-07-09 23:00:00+00:00,3.5911521911621094,10.776468276977539,-1.253840446472168,0.6840881705284119,157.16397094726562
2017-07-10 00:00:00+00:00,3.591428756713867,10.555546760559082,0.05923139303922653,0.6711477041244507,158.0909881591797
2017-07-10 01:00:00+00:00,3.619394302368164,8.801430702209473,2.0478134155273438,0.6250975728034973,157.89891052246094
2017-07-10 02:00:00+00:00,3.6353511810302734,6.398323059082031,3.094430923461914,0.5772102475166321,157.02468872070312
2017-07-10 03:00:00+00:00,3.6202926635742188,4.514007568359375,2.3336362838745117,0.5399988293647766,155.31576538085938
2017-07-10 04:00:00+00:00,3.6085424423217773,3.502169609069824,2.106985092163086,0.5051938891410828,153.4461212158203
2017-07-10 05:00:00+00:00,3.609938621520996,2.799457550048828,2.300774574279785,0.47103166580200195,151.6441650390625
2017-07-10 06:00:00+00:00,3.6148462295532227,2.32698917388916,2.5663671493530273,0.4403166174888611,149.30519104003906
2017-07-10 07:00:00+00:00,3.568880081176758,1.8978490829467773,2.90541934967041,0.4185878038406372,147.14564514160156
2017-07-10 08:00:00+00:00,3.5200376510620117,0.5938262939453125,4.1598100662231445,0.40165215730667114,145.38339233398438
2017-07-10 09:00:00+00:00,3.4558629989624023,-1.5519132614135742,5.178098678588867,0.3898073434829712,142.42803955078125
2017-07-10 10:00:00+00:00,3.4300947189331055,-2.801990509033203,3.83396053314209,0.37000638246536255,138.14157104492188
2017-07-10 11:00:00+00:00,3.361525535583496,-3.31442928314209,3.154788017272949,0.3622903823852539,131.55404663085938
2017-07-10 12:00:00+00:00,3.311184883117676,-4.041536331176758,2.547687530517578,0.35439133644104004,124.62898254394531
2017-07-10 13:00:00+00:00,3.2578353881835938,-4.375006675720215,1.866790771484375,0.3490446209907532,116.67726135253906
2017-07-10 14:00:00+00:00,3.2362098693847656,-5.602734565734863,0.7237447500228882,0.3389832377433777,110.97621154785156
2017-07-10 15:00:00+00:00,3.2325353622436523,-4.151699066162109,-0.1673315167427063,0.3273744583129883,107.35466003417969
2017-07-10 16:00:00+00:00,3.232729911804199,-2.1556520462036133,-0.7749819159507751,0.316206157207489,105.62419128417969
2017-07-10 17:00:00+00:00,3.22574520111084,-0.8515714406967163,-1.683725357055664,0.3071048855781555,105.00016784667969
2017-07-10 18:00:00+00:00,3.200632095336914,-0.2320757508277893,-2.298802375793457,0.30109137296676636,108.27348327636719
2017-07-10 19:00:00+00:00,3.185544967651367,-0.1801893711090088,-1.2505683898925781,0.29522109031677246,112.28182983398438
2017-07-10 20:00:00+00:00,3.1431541442871094,0.6713047027587891,1.6788625717163086,0.29606765508651733,122.93154907226562
2017-07-10 21:00:00+00:00,3.087993621826172,1.3763389587402344,3.8812789916992188,0.29959648847579956,132.09262084960938
2017-07-10 22:00:00+00:00,3.049774169921875,1.7429332733154297,5.861423492431641,0.3072027564048767,169.35964965820312
2017-07-10 23:00:00+00:00,3.0007457733154297,1.6767311096191406,7.051513671875,0.33112281560897827,211.65501403808594
2017-07-11 00:00:00+00:00,2.955203056335449,-0.2055039405822754,8.269648551940918,0.3810614347457886,230.84983825683594
2017-07-11 01:00:00+00:00,2.9376821517944336,-1.4197206497192383,8.68453311920166,0.46558332443237305,252.50692749023438
